State,State  Local Spending (billion),Gross State Product (billion),Gov spending percent of GDP,Population (million),,
All states combined,"$1,622.10","$9,201.10",17.6,278.0,,
Alabama,$23.40,$111.90,20.9,4.4,,
Alaska,$8.00,$24.30,32.9,0.6,,
Arizona,$24.10,$148.50,16.2,5.0,,
Arkansas,$11.70,$65.60,17.8,2.6,,
California,$215.70,"$1,180.60",18.3,33.4,,
Colorado,$23.50,$156.30,15.0,4.2,,
Connecticut,$22.30,$150.30,14.8,3.4,,
Delaware,$4.90,$39.40,12.4,0.8,,
D.C.,$6.30,$56.40,11.2,0.6,,
Florida,$80.70,$442.60,18.2,15.6,,
Georgia,$41.10,$277.10,14.8,8.0,,
Hawaii,$7.80,$38.60,20.2,1.2,,
Idaho,$6.20,$32.70,19.0,1.3,,
Illinois,$69.30,$443.80,15.6,12.3,,
Indiana,$29.50,$185.70,15.9,6.0,,
Iowa,$16.10,$86.10,18.7,2.9,,
Kansas,$13.40,$78.70,17.0,2.7,,
Kentucky,$20.40,$113.50,18.0,4.0,,
Louisiana,$23.80,$124.00,19.2,4.4,,
Maine,$7.00,$33.40,21.0,1.3,,
Maryland,$27.90,$171.40,16.3,5.2,,
Massachusetts,$40.80,$252.60,16.2,6.3,,
Michigan,$57.00,$326.20,17.5,9.9,,
Minnesota,$31.90,$172.90,18.4,4.9,,
Mississippi,$14.30,$63.00,22.7,2.8,,
Missouri,$26.60,$169.00,15.7,5.5,,
Montana,$4.70,$20.40,23.0,0.9,,
Nebraska,$10.00,$53.40,18.7,1.7,,
Nevada,$10.80,$68.80,15.7,1.9,,
New Hampshire,$5.90,$40.20,14.7,1.2,,
New Jersey,$51.20,$327.30,15.6,8.3,,
New Mexico,$10.60,$49.00,21.6,1.8,,
New York,$160.30,$730.30,21.9,18.9,,
North Carolina,$42.20,$262.70,16.1,7.9,,
North Dakota,$3.80,$16.90,22.5,0.6,,
Ohio,$63.50,$360.60,17.6,11.3,,
Oklahoma,$15.60,$83.20,18.8,3.4,,
Oregon,$21.90,$104.30,21.0,3.4,,
Pennsylvania,$70.50,$376.10,18.7,12.2,,
Rhode Island,$6.10,$30.80,19.8,1.0,,
South Carolina,$21.20,$108.70,19.5,4.0,,
South Dakota,$3.60,$21.60,16.7,0.7,,
Tennessee,$30.60,$169.60,18.0,5.6,,
Texas,$100.30,$669.00,15.0,20.4,,
Utah,$12.40,$63.80,19.4,2.2,,
Vermont,$3.30,$16.80,19.6,0.6,,
Virginia,$35.50,$242.70,14.6,7.0,,
Washington,$40.20,$214.40,18.8,5.8,,
West Virginia,$9.40,$41.10,22.9,1.8,,
Wisconsin,$31.50,$15.90,198.1,5.3,,
Wyoming,$3.50,$169.00,2.1,0.5,,
 ,,,,,,
